country,year_week,new_cases,number_sequenced,percent_cases_sequenced,variant,number_detections_variant,percent_variant
Italy,2021-03-21,153234,2366.0,1.5,Other,312,13.2
Latvia,2021-03-21,3628,405.0,11.2,Other,189,46.7
Liechtenstein,2021-03-21,19,0.0,0.0,Other,0,
Lithuania,2021-03-21,3696,1147.0,31.0,Other,458,39.9
Luxembourg,2021-03-21,1539,357.0,23.2,Other,33,9.2
Malta,2021-03-21,1313,0.0,0.0,Other,0,
Netherlands,2021-03-21,45084,1618.0,3.6,Other,83,5.1
Norway,2021-03-21,6499,389.0,6.0,Other,32,8.2
Poland,2021-03-21,155602,776.0,0.5,Other,45,5.8
Portugal,2021-03-21,3265,26.0,0.8,Other,8,30.8
Romania,2021-03-21,38177,20.0,0.1,Other,2,10.0
Slovakia,2021-03-21,11310,253.0,2.2,Other,8,3.2
Slovenia,2021-03-21,5738,752.0,13.1,Other,335,44.5
Spain,2021-03-21,33741,602.0,1.8,Other,69,11.5
Sweden,2021-03-21,33042,1507.0,4.6,Other,105,7.0
Austria,2021-03-21,20991,225.0,1.1,P.1,0,0.0
Belgium,2021-03-21,29403,1198.0,4.1,P.1,60,5.0
Bulgaria,2021-03-21,24866,168.0,0.7,P.1,0,0.0
Croatia,2021-03-21,6615,0.0,0.0,P.1,0,
Cyprus,2021-03-21,2567,0.0,0.0,P.1,0,
Czechia,2021-03-21,64913,185.0,0.3,P.1,0,0.0
Denmark,2021-03-21,5206,0.0,0.0,P.1,0,
Estonia,2021-03-21,10308,195.0,1.9,P.1,0,0.0
Finland,2021-03-21,4739,10.0,0.2,P.1,0,0.0
France,2021-03-21,210941,2698.0,1.3,P.1,18,0.7
Germany,2021-03-21,91376,7235.0,7.9,P.1,7,0.1
Greece,2021-03-21,15978,133.0,0.8,P.1,0,0.0
Hungary,2021-03-21,56446,0.0,0.0,P.1,0,
Iceland,2021-03-21,36,0.0,0.0,P.1,0,
Ireland,2021-03-21,3858,905.0,23.5,P.1,9,1.0
Italy,2021-03-21,153234,2366.0,1.5,P.1,68,2.9
Latvia,2021-03-21,3628,405.0,11.2,P.1,0,0.0
Liechtenstein,2021-03-21,19,0.0,0.0,P.1,0,
Lithuania,2021-03-21,3696,1147.0,31.0,P.1,0,0.0
Luxembourg,2021-03-21,1539,357.0,23.2,P.1,0,0.0
Malta,2021-03-21,1313,0.0,0.0,P.1,0,
Netherlands,2021-03-21,45084,1618.0,3.6,P.1,41,2.5
Norway,2021-03-21,6499,389.0,6.0,P.1,1,0.3
Poland,2021-03-21,155602,776.0,0.5,P.1,0,0.0
Portugal,2021-03-21,3265,26.0,0.8,P.1,7,26.9
Romania,2021-03-21,38177,20.0,0.1,P.1,0,0.0
Slovakia,2021-03-21,11310,253.0,2.2,P.1,0,0.0
Slovenia,2021-03-21,5738,752.0,13.1,P.1,0,0.0
Spain,2021-03-21,33741,602.0,1.8,P.1,13,2.2
Sweden,2021-03-21,33042,1507.0,4.6,P.1,0,0.0
Austria,2021-03-28,21849,82.0,0.4,B.1.1.7,78,95.1
Belgium,2021-03-28,33868,1332.0,3.9,B.1.1.7,1106,83.0
Bulgaria,2021-03-28,25330,41.0,0.2,B.1.1.7,40,97.6
Croatia,2021-03-28,9733,0.0,0.0,B.1.1.7,0,
Cyprus,2021-03-28,2413,0.0,0.0,B.1.1.7,0,
Czechia,2021-03-28,49439,12.0,0.0,B.1.1.7,10,83.3
Denmark,2021-03-28,2415,0.0,0.0,B.1.1.7,0,
Estonia,2021-03-28,7820,217.0,2.8,B.1.1.7,194,89.4
Finland,2021-03-28,4352,4.0,0.1,B.1.1.7,1,25.0
France,2021-03-28,262986,1388.0,0.5,B.1.1.7,1055,76.0
Germany,2021-03-28,115048,7360.0,6.4,B.1.1.7,6442,87.5
Greece,2021-03-28,16906,2.0,0.0,B.1.1.7,0,0.0
Hungary,2021-03-28,60482,0.0,0.0,B.1.1.7,0,
Iceland,2021-03-28,64,0.0,0.0,B.1.1.7,0,
Ireland,2021-03-28,3942,835.0,21.2,B.1.1.7,796,95.3
Italy,2021-03-28,155681,1178.0,0.8,B.1.1.7,1017,86.3
Latvia,2021-03-28,3631,232.0,6.4,B.1.1.7,170,73.3
Liechtenstein,2021-03-28,30,0.0,0.0,B.1.1.7,0,
Lithuania,2021-03-28,5025,736.0,14.6,B.1.1.7,565,76.8
Luxembourg,2021-03-28,1339,360.0,26.9,B.1.1.7,260,72.2
Malta,2021-03-28,619,0.0,0.0,B.1.1.7,0,
Netherlands,2021-03-28,51280,1625.0,3.2,B.1.1.7,1487,91.5
Norway,2021-03-28,6206,132.0,2.1,B.1.1.7,124,93.9
Poland,2021-03-28,194835,718.0,0.4,B.1.1.7,692,96.4
Portugal,2021-03-28,2938,12.0,0.4,B.1.1.7,4,33.3
Romania,2021-03-28,39585,9.0,0.0,B.1.1.7,3,33.3
